Month,Year,Primary Practice County,Foreign Language Proficiency,Count of Licensees
March,2016,Sacramento,Hmong,4
March,2016,Sacramento,Hungarian,5
March,2016,Sacramento,Ilacano,6
March,2016,Sacramento,Indonesian,3
March,2016,Sacramento,Italian,20
March,2016,Sacramento,Japanese,14
March,2016,Sacramento,Korean,25
March,2016,Sacramento,Lao,2
March,2016,Sacramento,Mandarin,131
March,2016,Sacramento,No Bubble Marked,323
March,2016,Sacramento,Other,41
March,2016,Sacramento,Other Chinese Languages,14
March,2016,Sacramento,Other Non English,45
March,2016,Sacramento,Other Sign Language,2
March,2016,Sacramento,Polish,13
March,2016,Sacramento,Portuguese,16
March,2016,Sacramento,Punjabi,99
March,2016,Sacramento,Russian,35
March,2016,Sacramento,Scandinavian Languages,4
March,2016,Sacramento,Serbian,2
March,2016,Sacramento,Spanish,394
March,2016,Sacramento,Swahili,1
March,2016,Sacramento,Tagalog,61
March,2016,Sacramento,Telugu,14
March,2016,Sacramento,Thai,11
March,2016,Sacramento,Turkish,4
March,2016,Sacramento,Ukrainian,5
March,2016,Sacramento,Vietnamese,93
March,2016,Sacramento,Yiddish,3
March,2016,San Benito,Arabic,1
March,2016,San Benito,Decline To State,3
March,2016,San Benito,Farsi,2
March,2016,San Benito,German,1
March,2016,San Benito,Hindi,5
March,2016,San Benito,Italian,2
March,2016,San Benito,Korean,1
March,2016,San Benito,Other Chinese Languages,1
March,2016,San Benito,Punjabi,4
March,2016,San Benito,Spanish,16
March,2016,San Benito,Tagalog,2
March,2016,San Benito,Vietnamese,3
March,2016,San Bernardino,Afrikaans,3
March,2016,San Bernardino,American Sign Language(Asl),2
March,2016,San Bernardino,Amharic,2
March,2016,San Bernardino,Arabic,126
March,2016,San Bernardino,Armenian,12
March,2016,San Bernardino,Cambodian,2
March,2016,San Bernardino,Cantonese,53
March,2016,San Bernardino,Croatian,1
March,2016,San Bernardino,Decline To State,180
March,2016,San Bernardino,Farsi,74
March,2016,San Bernardino,Fijian,1
March,2016,San Bernardino,Formosan (Amis),1
March,2016,San Bernardino,French,76
March,2016,San Bernardino,French Creole,2
March,2016,San Bernardino,German,34
March,2016,San Bernardino,Greek,3
March,2016,San Bernardino,Gujarati,36
March,2016,San Bernardino,Hebrew,5
March,2016,San Bernardino,Hindi,213
March,2016,San Bernardino,Hungarian,4
March,2016,San Bernardino,Ilacano,7
March,2016,San Bernardino,Indonesian,5
March,2016,San Bernardino,Italian,14
March,2016,San Bernardino,Japanese,21
March,2016,San Bernardino,Korean,72
March,2016,San Bernardino,Mandarin,147
March,2016,San Bernardino,Mien,1
March,2016,San Bernardino,No Bubble Marked,197
March,2016,San Bernardino,Other,41
March,2016,San Bernardino,Other Chinese Languages,36
March,2016,San Bernardino,Other Non English,73
March,2016,San Bernardino,Polish,6
March,2016,San Bernardino,Portuguese,22
March,2016,San Bernardino,Punjabi,64
March,2016,San Bernardino,Russian,26
March,2016,San Bernardino,Scandinavian Languages,1
March,2016,San Bernardino,Serbian,1
March,2016,San Bernardino,Spanish,569
March,2016,San Bernardino,Swahili,1
March,2016,San Bernardino,Tagalog,144
March,2016,San Bernardino,Telugu,21
March,2016,San Bernardino,Thai,18
March,2016,San Bernardino,Turkish,4
March,2016,San Bernardino,Ukrainian,2
March,2016,San Bernardino,Vietnamese,118
March,2016,San Bernardino,Yiddish,1
March,2016,San Bernardino,Yoruba,3
March,2016,San Diego,Afrikaans,8
March,2016,San Diego,American Sign Language(Asl),5
March,2016,San Diego,Amharic,3
March,2016,San Diego,Arabic,106
March,2016,San Diego,Armenian,14
March,2016,San Diego,Cambodian,4
March,2016,San Diego,Cantonese,47
March,2016,San Diego,Croatian,5
March,2016,San Diego,Decline To State,666
March,2016,San Diego,Farsi,242
March,2016,San Diego,Fijian,1
March,2016,San Diego,French,299
March,2016,San Diego,French Creole,4
March,2016,San Diego,German,154
March,2016,San Diego,Greek,14
March,2016,San Diego,Gujarati,37
March,2016,San Diego,Hebrew,37
March,2016,San Diego,Hindi,207
March,2016,San Diego,Hmong,1
March,2016,San Diego,Hungarian,9
March,2016,San Diego,Ilacano,10
March,2016,San Diego,Indonesian,5
March,2016,San Diego,Italian,91
March,2016,San Diego,Japanese,31
March,2016,San Diego,Korean,61
March,2016,San Diego,Lao,2
March,2016,San Diego,Mandarin,190
March,2016,San Diego,No Bubble Marked,772
March,2016,San Diego,Other,58
March,2016,San Diego,Other Chinese Languages,31
March,2016,San Diego,Other Non English,103
March,2016,San Diego,Other Sign Language,3
March,2016,San Diego,Polish,34
March,2016,San Diego,Portuguese,59
March,2016,San Diego,Punjabi,52
March,2016,San Diego,Russian,82
March,2016,San Diego,Samoan,1
March,2016,San Diego,Scandinavian Languages,12
March,2016,San Diego,Serbian,6
March,2016,San Diego,Spanish,1782
March,2016,San Diego,Swahili,3
March,2016,San Diego,Tagalog,125
March,2016,San Diego,Telugu,31
March,2016,San Diego,Thai,6
March,2016,San Diego,Turkish,16
March,2016,San Diego,Ukrainian,10
March,2016,San Diego,Vietnamese,154
March,2016,San Diego,Yiddish,7
March,2016,San Diego,Yoruba,1
March,2016,San Francisco,Afrikaans,3
March,2016,San Francisco,Arabic,28
March,2016,San Francisco,Armenian,7
March,2016,San Francisco,Cantonese,226
March,2016,San Francisco,Croatian,4
March,2016,San Francisco,Decline To State,289
March,2016,San Francisco,Farsi,40
March,2016,San Francisco,French,244
March,2016,San Francisco,French Creole,5
March,2016,San Francisco,German,97
March,2016,San Francisco,Greek,8
March,2016,San Francisco,Gujarati,13
March,2016,San Francisco,Hebrew,15
March,2016,San Francisco,Hindi,62
March,2016,San Francisco,Hungarian,4
March,2016,San Francisco,Ilacano,2
March,2016,San Francisco,Indonesian,3
March,2016,San Francisco,Italian,53
March,2016,San Francisco,Japanese,32
March,2016,San Francisco,Korean,42
March,2016,San Francisco,Lao,1
March,2016,San Francisco,Mandarin,269
March,2016,San Francisco,No Bubble Marked,367
March,2016,San Francisco,Other,28
March,2016,San Francisco,Other Chinese Languages,40
March,2016,San Francisco,Other Non English,48
March,2016,San Francisco,Polish,10
March,2016,San Francisco,Portuguese,29
March,2016,San Francisco,Punjabi,15
March,2016,San Francisco,Russian,71
March,2016,San Francisco,Samoan,1
March,2016,San Francisco,Scandinavian Languages,5
March,2016,San Francisco,Serbian,5
March,2016,San Francisco,Spanish,803
March,2016,San Francisco,Swahili,4
March,2016,San Francisco,Tagalog,35
March,2016,San Francisco,Telugu,4
March,2016,San Francisco,Thai,8
March,2016,San Francisco,Tonga,1
March,2016,San Francisco,Turkish,10
March,2016,San Francisco,Ukrainian,6
March,2016,San Francisco,Vietnamese,52
March,2016,San Francisco,Xiang Chinese,1
March,2016,San Francisco,Yiddish,5
March,2016,San Francisco,Yoruba,1
March,2016,San Joaquin,Afrikaans,4
March,2016,San Joaquin,American Sign Language(Asl),1
March,2016,San Joaquin,Amharic,1
March,2016,San Joaquin,Arabic,19
March,2016,San Joaquin,Armenian,1
March,2016,San Joaquin,Cantonese,15
March,2016,San Joaquin,Decline To State,50
March,2016,San Joaquin,Farsi,20
March,2016,San Joaquin,Fijian,1
March,2016,San Joaquin,French,14
March,2016,San Joaquin,French Creole,1
March,2016,San Joaquin,German,12
March,2016,San Joaquin,Greek,2
March,2016,San Joaquin,Gujarati,14
March,2016,San Joaquin,Hebrew,1
March,2016,San Joaquin,Hindi,121
March,2016,San Joaquin,Hungarian,1
March,2016,San Joaquin,Ilacano,23
March,2016,San Joaquin,Italian,8
March,2016,San Joaquin,Japanese,1
March,2016,San Joaquin,Korean,6
March,2016,San Joaquin,Lao,1
March,2016,San Joaquin,Mandarin,46
March,2016,San Joaquin,No Bubble Marked,60
March,2016,San Joaquin,Other,19
March,2016,San Joaquin,Other Chinese Languages,9
March,2016,San Joaquin,Other Non English,24
March,2016,San Joaquin,Polish,1
March,2016,San Joaquin,Portuguese,3
March,2016,San Joaquin,Punjabi,69
March,2016,San Joaquin,Russian,9
March,2016,San Joaquin,Scandinavian Languages,1
March,2016,San Joaquin,Spanish,144
March,2016,San Joaquin,Tagalog,70
March,2016,San Joaquin,Telugu,15
March,2016,San Joaquin,Thai,3
March,2016,San Joaquin,Turkish,4
March,2016,San Joaquin,Vietnamese,59
March,2016,San Joaquin,Yoruba,1
March,2016,San Luis Obispo,Afrikaans,1
March,2016,San Luis Obispo,American Sign Language(Asl),1
March,2016,San Luis Obispo,Arabic,5
March,2016,San Luis Obispo,Cantonese,1
March,2016,San Luis Obispo,Croatian,1
March,2016,San Luis Obispo,Decline To State,63
March,2016,San Luis Obispo,Farsi,12
March,2016,San Luis Obispo,French,17
March,2016,San Luis Obispo,German,14
March,2016,San Luis Obispo,Gujarati,1
March,2016,San Luis Obispo,Hebrew,1
March,2016,San Luis Obispo,Hindi,3
March,2016,San Luis Obispo,Ilacano,1
March,2016,San Luis Obispo,Italian,6
March,2016,San Luis Obispo,Japanese,3
March,2016,San Luis Obispo,Mandarin,2
March,2016,San Luis Obispo,No Bubble Marked,79
March,2016,San Luis Obispo,Other,2
March,2016,San Luis Obispo,Other Non English,4
March,2016,San Luis Obispo,Portuguese,5
March,2016,San Luis Obispo,Punjabi,1
March,2016,San Luis Obispo,Russian,3
March,2016,San Luis Obispo,Serbian,1
March,2016,San Luis Obispo,Spanish,123
March,2016,San Luis Obispo,Tagalog,11
March,2016,San Luis Obispo,Thai,1
March,2016,San Luis Obispo,Turkish,1
March,2016,San Luis Obispo,Vietnamese,2
March,2016,San Luis Obispo,Yiddish,1
March,2016,San Mateo,Afrikaans,2
March,2016,San Mateo,American Sign Language(Asl),1
March,2016,San Mateo,Arabic,13
March,2016,San Mateo,Armenian,5
March,2016,San Mateo,Cantonese,70
March,2016,San Mateo,Croatian,1
March,2016,San Mateo,Decline To State,163
March,2016,San Mateo,Farsi,20
March,2016,San Mateo,Formosan (Amis),1
March,2016,San Mateo,French,107
March,2016,San Mateo,German,44
March,2016,San Mateo,Greek,7
March,2016,San Mateo,Gujarati,14
March,2016,San Mateo,Hebrew,11
March,2016,San Mateo,Hindi,80
March,2016,San Mateo,Hungarian,2
March,2016,San Mateo,Ilacano,7
March,2016,San Mateo,Italian,26
March,2016,San Mateo,Japanese,10
March,2016,San Mateo,Korean,19
March,2016,San Mateo,Mandarin,126
March,2016,San Mateo,No Bubble Marked,196
March,2016,San Mateo,Other,14
March,2016,San Mateo,Other Chinese Languages,19
March,2016,San Mateo,Other Non English,28
March,2016,San Mateo,Other Sign Language,1
March,2016,San Mateo,Polish,7
March,2016,San Mateo,Portuguese,10
March,2016,San Mateo,Punjabi,18
March,2016,San Mateo,Russian,36
March,2016,San Mateo,Scandinavian Languages,3
March,2016,San Mateo,Serbian,1
March,2016,San Mateo,Spanish,343
March,2016,San Mateo,Swahili,1
March,2016,San Mateo,Tagalog,61
March,2016,San Mateo,Telugu,9
March,2016,San Mateo,Thai,1
March,2016,San Mateo,Turkish,2
March,2016,San Mateo,Ukrainian,3
March,2016,San Mateo,Vietnamese,35
March,2016,San Mateo,Yiddish,1
March,2016,Santa Barbara,Afrikaans,1
March,2016,Santa Barbara,Arabic,11
March,2016,Santa Barbara,Cambodian,1
March,2016,Santa Barbara,Cantonese,3
March,2016,Santa Barbara,Decline To State,86
March,2016,Santa Barbara,Farsi,10
March,2016,Santa Barbara,French,39
March,2016,Santa Barbara,German,17
March,2016,Santa Barbara,Greek,1
March,2016,Santa Barbara,Gujarati,5
March,2016,Santa Barbara,Hebrew,4
March,2016,Santa Barbara,Hindi,18
March,2016,Santa Barbara,Hungarian,2
March,2016,Santa Barbara,Ilacano,2
March,2016,Santa Barbara,Italian,10
March,2016,Santa Barbara,Japanese,2
March,2016,Santa Barbara,Korean,6
March,2016,Santa Barbara,Lao,1
March,2016,Santa Barbara,Mandarin,8
March,2016,Santa Barbara,No Bubble Marked,111
March,2016,Santa Barbara,Other,3
March,2016,Santa Barbara,Other Chinese Languages,2
March,2016,Santa Barbara,Other Non English,5
March,2016,Santa Barbara,Portuguese,7
March,2016,Santa Barbara,Punjabi,7
March,2016,Santa Barbara,Russian,6
March,2016,Santa Barbara,Spanish,244
March,2016,Santa Barbara,Tagalog,8
March,2016,Santa Barbara,Thai,1
March,2016,Santa Barbara,Turkish,2
March,2016,Santa Barbara,Ukrainian,1
March,2016,Santa Barbara,Vietnamese,7
March,2016,Santa Barbara,Yiddish,1
March,2016,Santa Clara,Afrikaans,6
March,2016,Santa Clara,American Sign Language(Asl),2
March,2016,Santa Clara,Amharic,4
March,2016,Santa Clara,Arabic,47
March,2016,Santa Clara,Armenian,10
March,2016,Santa Clara,Cambodian,4
March,2016,Santa Clara,Cantonese,144
March,2016,Santa Clara,Croatian,5
March,2016,Santa Clara,Decline To State,391
March,2016,Santa Clara,Farsi,140
March,2016,Santa Clara,Fijian,1
March,2016,Santa Clara,Formosan (Amis),5
March,2016,Santa Clara,French,266
March,2016,Santa Clara,French Creole,2
March,2016,Santa Clara,German,96
March,2016,Santa Clara,Greek,11
March,2016,Santa Clara,Gujarati,59
March,2016,Santa Clara,Hebrew,33
March,2016,Santa Clara,Hindi,443
March,2016,Santa Clara,Hungarian,6
March,2016,Santa Clara,Ilacano,14
March,2016,Santa Clara,Indonesian,2
March,2016,Santa Clara,Italian,48
March,2016,Santa Clara,Japanese,40
March,2016,Santa Clara,Korean,71
March,2016,Santa Clara,Mandarin,388
March,2016,Santa Clara,No Bubble Marked,402
March,2016,Santa Clara,Other,68
March,2016,Santa Clara,Other Chinese Languages,55
March,2016,Santa Clara,Other Non English,112
March,2016,Santa Clara,Other Sign Language,1
March,2016,Santa Clara,Polish,10
March,2016,Santa Clara,Portuguese,18
March,2016,Santa Clara,Punjabi,123
March,2016,Santa Clara,Russian,67
March,2016,Santa Clara,Scandinavian Languages,6
March,2016,Santa Clara,Serbian,2
March,2016,Santa Clara,Spanish,871
March,2016,Santa Clara,Swahili,4
March,2016,Santa Clara,Tagalog,79
March,2016,Santa Clara,Telugu,65
March,2016,Santa Clara,Thai,7
March,2016,Santa Clara,Turkish,8
March,2016,Santa Clara,Ukrainian,3
March,2016,Santa Clara,Vietnamese,296
March,2016,Santa Clara,Yiddish,3
March,2016,Santa Cruz,Afrikaans,1
March,2016,Santa Cruz,American Sign Language(Asl),1
March,2016,Santa Cruz,Cambodian,1
March,2016,Santa Cruz,Cantonese,1
March,2016,Santa Cruz,Decline To State,58
March,2016,Santa Cruz,Farsi,4
March,2016,Santa Cruz,French,22
March,2016,Santa Cruz,German,17
March,2016,Santa Cruz,Gujarati,2
March,2016,Santa Cruz,Hebrew,2
March,2016,Santa Cruz,Hindi,11
March,2016,Santa Cruz,Hungarian,1
March,2016,Santa Cruz,Italian,3
March,2016,Santa Cruz,Korean,1
March,2016,Santa Cruz,Mandarin,6
March,2016,Santa Cruz,No Bubble Marked,75
March,2016,Santa Cruz,Other,3
March,2016,Santa Cruz,Other Chinese Languages,2
March,2016,Santa Cruz,Other Non English,8
March,2016,Santa Cruz,Polish,1
March,2016,Santa Cruz,Portuguese,2
March,2016,Santa Cruz,Punjabi,4
March,2016,Santa Cruz,Russian,5
March,2016,Santa Cruz,Spanish,176
March,2016,Santa Cruz,Tagalog,8
March,2016,Santa Cruz,Turkish,2
March,2016,Santa Cruz,Vietnamese,5
March,2016,Santa Cruz,Yoruba,1
March,2016,Shasta,Afrikaans,1
March,2016,Shasta,Arabic,1
March,2016,Shasta,Cambodian,1
March,2016,Shasta,Cantonese,3
March,2016,Shasta,Decline To State,33
March,2016,Shasta,Farsi,3
March,2016,Shasta,French,8
March,2016,Shasta,German,5
March,2016,Shasta,Greek,1
March,2016,Shasta,Gujarati,1
March,2016,Shasta,Hindi,9
March,2016,Shasta,Ilacano,1
March,2016,Shasta,Italian,2
March,2016,Shasta,Japanese,1
March,2016,Shasta,Mandarin,3
March,2016,Shasta,No Bubble Marked,38
March,2016,Shasta,Other,2
March,2016,Shasta,Other Chinese Languages,1
March,2016,Shasta,Other Non English,4
March,2016,Shasta,Polish,2
March,2016,Shasta,Portuguese,1
March,2016,Shasta,Punjabi,6
March,2016,Shasta,Russian,2
March,2016,Shasta,Spanish,47
March,2016,Shasta,Tagalog,6
March,2016,Shasta,Telugu,3
March,2016,Shasta,Vietnamese,3
March,2016,Siskiyou,Decline To State,8
March,2016,Siskiyou,French,2
March,2016,Siskiyou,German,1
March,2016,Siskiyou,Hebrew,1
March,2016,Siskiyou,Hindi,1
March,2016,Siskiyou,Mandarin,1
March,2016,Siskiyou,No Bubble Marked,10
March,2016,Siskiyou,Spanish,10
March,2016,Siskiyou,Vietnamese,1
March,2016,Solano,Afrikaans,1
March,2016,Solano,Amharic,1
March,2016,Solano,Arabic,3
March,2016,Solano,Armenian,1
March,2016,Solano,Cambodian,1
March,2016,Solano,Cantonese,6
March,2016,Solano,Croatian,1
March,2016,Solano,Decline To State,52
March,2016,Solano,Farsi,11
March,2016,Solano,Formosan (Amis),2
March,2016,Solano,French,13
March,2016,Solano,German,13
March,2016,Solano,Gujarati,4
March,2016,Solano,Hebrew,1
March,2016,Solano,Hindi,39
March,2016,Solano,Hungarian,1
March,2016,Solano,Ilacano,5
March,2016,Solano,Italian,5
March,2016,Solano,Japanese,7
March,2016,Solano,Korean,7
March,2016,Solano,Lao,1
March,2016,Solano,Mandarin,28
March,2016,Solano,No Bubble Marked,55
March,2016,Solano,Other,8
March,2016,Solano,Other Chinese Languages,7
March,2016,Solano,Other Non English,9
March,2016,Solano,Polish,2
March,2016,Solano,Portuguese,2
March,2016,Solano,Punjabi,26
March,2016,Solano,Russian,12
March,2016,Solano,Serbian,1
March,2016,Solano,Spanish,106
March,2016,Solano,Tagalog,35
March,2016,Solano,Telugu,1
March,2016,Solano,Thai,2
March,2016,Solano,Turkish,2
March,2016,Solano,Ukrainian,1
March,2016,Solano,Vietnamese,13
March,2016,Sonoma,Afrikaans,1
March,2016,Sonoma,Amharic,1
March,2016,Sonoma,Arabic,2
March,2016,Sonoma,Armenian,2
March,2016,Sonoma,Cantonese,3
March,2016,Sonoma,Decline To State,125
March,2016,Sonoma,Farsi,10
March,2016,Sonoma,French,47
March,2016,Sonoma,German,29
March,2016,Sonoma,Gujarati,2
March,2016,Sonoma,Hebrew,4
March,2016,Sonoma,Hindi,24
March,2016,Sonoma,Hungarian,1
March,2016,Sonoma,Ilacano,1
March,2016,Sonoma,Italian,15
March,2016,Sonoma,Japanese,1
March,2016,Sonoma,Korean,2
March,2016,Sonoma,Mandarin,23
March,2016,Sonoma,No Bubble Marked,134
March,2016,Sonoma,Other,7
March,2016,Sonoma,Other Chinese Languages,4
March,2016,Sonoma,Other Non English,11
March,2016,Sonoma,Other Sign Language,2
March,2016,Sonoma,Portuguese,3
March,2016,Sonoma,Punjabi,8
March,2016,Sonoma,Russian,8
March,2016,Sonoma,Spanish,252
March,2016,Sonoma,Tagalog,11
March,2016,Sonoma,Telugu,1
March,2016,Sonoma,Thai,1
March,2016,Sonoma,Turkish,1
March,2016,Sonoma,Vietnamese,11
March,2016,Stanislaus,American Sign Language(Asl),1
March,2016,Stanislaus,Amharic,1
March,2016,Stanislaus,Arabic,21
March,2016,Stanislaus,Armenian,4
March,2016,Stanislaus,Cambodian,2
March,2016,Stanislaus,Cantonese,16
March,2016,Stanislaus,Decline To State,43
March,2016,Stanislaus,Farsi,29
March,2016,Stanislaus,French,13
March,2016,Stanislaus,German,6
March,2016,Stanislaus,Gujarati,8
March,2016,Stanislaus,Hebrew,3
March,2016,Stanislaus,Hindi,90
March,2016,Stanislaus,Hmong,1
March,2016,Stanislaus,Ilacano,4
March,2016,Stanislaus,Italian,5
March,2016,Stanislaus,Japanese,4
March,2016,Stanislaus,Korean,13
March,2016,Stanislaus,Lao,1
March,2016,Stanislaus,Mandarin,51
March,2016,Stanislaus,No Bubble Marked,48
March,2016,Stanislaus,Other,19
March,2016,Stanislaus,Other Chinese Languages,13
March,2016,Stanislaus,Other Non English,15
March,2016,Stanislaus,Polish,7
March,2016,Stanislaus,Portuguese,2
March,2016,Stanislaus,Punjabi,54
March,2016,Stanislaus,Russian,4
March,2016,Stanislaus,Samoan,1
March,2016,Stanislaus,Scandinavian Languages,1
March,2016,Stanislaus,Spanish,145
March,2016,Stanislaus,Tagalog,52
March,2016,Stanislaus,Telugu,3
March,2016,Stanislaus,Thai,3
March,2016,Stanislaus,Turkish,5
March,2016,Stanislaus,Ukrainian,1
March,2016,Stanislaus,Vietnamese,33
March,2016,Stanislaus,Xiang Chinese,1
March,2016,Stanislaus,Yiddish,1
March,2016,Sutter,Afrikaans,1
March,2016,Sutter,Arabic,3
March,2016,Sutter,Armenian,1
March,2016,Sutter,Cantonese,3
March,2016,Sutter,Decline To State,12
March,2016,Sutter,Farsi,2
March,2016,Sutter,French,2
March,2016,Sutter,German,2
March,2016,Sutter,Gujarati,1
March,2016,Sutter,Hindi,32
March,2016,Sutter,Ilacano,1
March,2016,Sutter,Indonesian,1
March,2016,Sutter,Japanese,3
March,2016,Sutter,Mandarin,6
March,2016,Sutter,No Bubble Marked,10
March,2016,Sutter,Other,2
March,2016,Sutter,Other Chinese Languages,2
March,2016,Sutter,Other Non English,4
March,2016,Sutter,Polish,1
March,2016,Sutter,Portuguese,1
March,2016,Sutter,Punjabi,28
March,2016,Sutter,Russian,2
March,2016,Sutter,Samoan,1
March,2016,Sutter,Spanish,13
March,2016,Sutter,Swahili,1
March,2016,Sutter,Tagalog,6
March,2016,Sutter,Telugu,1
March,2016,Sutter,Vietnamese,9
March,2016,Tehama,Decline To State,6
March,2016,Tehama,German,1
March,2016,Tehama,Hindi,4
March,2016,Tehama,No Bubble Marked,2
March,2016,Tehama,Punjabi,1
March,2016,Tehama,Spanish,4
March,2016,Tehama,Tagalog,2
March,2016,Trinity,Decline To State,1
March,2016,Trinity,French,2
March,2016,Trinity,Hindi,1
March,2016,Trinity,Hungarian,1
March,2016,Trinity,Italian,1
March,2016,Tulare,Afrikaans,1
March,2016,Tulare,Amharic,1
March,2016,Tulare,Arabic,19
March,2016,Tulare,Armenian,1
March,2016,Tulare,Cantonese,2
March,2016,Tulare,Decline To State,24
March,2016,Tulare,Farsi,6
March,2016,Tulare,French,12
March,2016,Tulare,German,5
March,2016,Tulare,Gujarati,1
March,2016,Tulare,Hebrew,1
March,2016,Tulare,Hindi,44
March,2016,Tulare,Hungarian,1
March,2016,Tulare,Ilacano,5
March,2016,Tulare,Italian,4
March,2016,Tulare,Japanese,4
March,2016,Tulare,Korean,1
March,2016,Tulare,Lao,1
March,2016,Tulare,Mandarin,16
March,2016,Tulare,No Bubble Marked,25
March,2016,Tulare,Other,4
March,2016,Tulare,Other Chinese Languages,3
March,2016,Tulare,Other Non English,11
March,2016,Tulare,Polish,1
March,2016,Tulare,Portuguese,3
March,2016,Tulare,Punjabi,25
March,2016,Tulare,Russian,3
March,2016,Tulare,Samoan,1
March,2016,Tulare,Spanish,119
March,2016,Tulare,Tagalog,29
March,2016,Tulare,Telugu,3
March,2016,Tulare,Thai,1
March,2016,Tulare,Turkish,2
March,2016,Tulare,Vietnamese,13
March,2016,Tulare,Yoruba,1
March,2016,Tuolumne,Arabic,1
March,2016,Tuolumne,Cantonese,1
March,2016,Tuolumne,Decline To State,8
March,2016,Tuolumne,Farsi,3
March,2016,Tuolumne,French,3
March,2016,Tuolumne,German,4
March,2016,Tuolumne,Hindi,2
March,2016,Tuolumne,Japanese,1
March,2016,Tuolumne,No Bubble Marked,10
March,2016,Tuolumne,Spanish,13
March,2016,Tuolumne,Tagalog,2
March,2016,Tuolumne,Telugu,1
March,2016,Ventura,Afrikaans,2
March,2016,Ventura,American Sign Language(Asl),1
March,2016,Ventura,Amharic,1
March,2016,Ventura,Arabic,19
March,2016,Ventura,Armenian,12
March,2016,Ventura,Cantonese,11
March,2016,Ventura,Decline To State,100
March,2016,Ventura,Farsi,69
March,2016,Ventura,Fijian,2
March,2016,Ventura,Formosan (Amis),1
March,2016,Ventura,French,50
March,2016,Ventura,French Creole,1
March,2016,Ventura,German,29
March,2016,Ventura,Greek,1
March,2016,Ventura,Gujarati,13
March,2016,Ventura,Hebrew,13
March,2016,Ventura,Hindi,86
March,2016,Ventura,Hungarian,4
March,2016,Ventura,Ilacano,5
March,2016,Ventura,Italian,15
March,2016,Ventura,Japanese,12
March,2016,Ventura,Korean,27
March,2016,Ventura,Mandarin,55
March,2016,Ventura,Navajo,1
March,2016,Ventura,No Bubble Marked,141
March,2016,Ventura,Other,12
March,2016,Ventura,Other Chinese Languages,15
March,2016,Ventura,Other Non English,19
March,2016,Ventura,Other Sign Language,1
March,2016,Ventura,Polish,4
March,2016,Ventura,Portuguese,5
March,2016,Ventura,Punjabi,34
March,2016,Ventura,Russian,17
March,2016,Ventura,Scandinavian Languages,2
March,2016,Ventura,Spanish,447
March,2016,Ventura,Tagalog,23
March,2016,Ventura,Telugu,4
March,2016,Ventura,Thai,5
March,2016,Ventura,Turkish,7
March,2016,Ventura,Ukrainian,1
March,2016,Ventura,Vietnamese,32
March,2016,Ventura,Xiang Chinese,1
March,2016,Ventura,Yiddish,2
March,2016,Yolo,Arabic,1
March,2016,Yolo,Cantonese,7
March,2016,Yolo,Croatian,1
March,2016,Yolo,Decline To State,47
March,2016,Yolo,Farsi,5
March,2016,Yolo,French,13
March,2016,Yolo,German,10
March,2016,Yolo,Gujarati,2
March,2016,Yolo,Hebrew,1
March,2016,Yolo,Hindi,21
March,2016,Yolo,Italian,3
March,2016,Yolo,Japanese,1
March,2016,Yolo,Korean,1
March,2016,Yolo,Mandarin,13
March,2016,Yolo,No Bubble Marked,45
March,2016,Yolo,Other,4
March,2016,Yolo,Other Chinese Languages,2
March,2016,Yolo,Other Non English,5
March,2016,Yolo,Polish,2
March,2016,Yolo,Punjabi,13
March,2016,Yolo,Russian,3
March,2016,Yolo,Spanish,64
March,2016,Yolo,Tagalog,5
March,2016,Yolo,Telugu,1
March,2016,Yolo,Thai,2
March,2016,Yolo,Turkish,2
March,2016,Yolo,Ukrainian,1
March,2016,Yolo,Vietnamese,8
March,2016,Yuba,Decline To State,3
March,2016,Yuba,Farsi,1
March,2016,Yuba,French,2
March,2016,Yuba,German,1
March,2016,Yuba,Gujarati,1
March,2016,Yuba,Hindi,5
March,2016,Yuba,Korean,2
March,2016,Yuba,Mandarin,3
March,2016,Yuba,No Bubble Marked,4
March,2016,Yuba,Punjabi,5
March,2016,Yuba,Spanish,8
March,2016,Yuba,Tagalog,3
March,2016,Yuba,Vietnamese,5
